	Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_NA_NA	Bacteria_Firmicutes_Clostridia_Peptostreptococcales.Tissierellales_Peptostreptococcaceae_Romboutsia_NA	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.2	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Robinsoniella_NA	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_IncertaeSedis_NA.1	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.1	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.4	Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.9	Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.3	Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA	Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_NA	Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_diestrammenae	Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.2	Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA	Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus_NA	Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Erysipelatoclostridium_NA.2	Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Breznakia_blatticola	Bacteria_Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_NA	Bacteria_Synergistota_Synergistia_Synergistales_Synergistaceae_NA_NA	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Shimwellia_NA	Bacteria_Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_NA	Bacteria_Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfosarcinaceae_NA_NA	Bacteria_Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfosarcinaceae_NA_NA.1	Bacteria_Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobotulus_NA	Bacteria_Planctomycetota_vadinHA49_NA_NA_NA_NA.1	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.1	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.12	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.10	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.3	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.6	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.5	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.2	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Paludibacteraceae_Paludibacter_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_NA.2	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_NA.1	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_NA.3	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_PeH15_NA_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_vadinHA21_NA_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_COBP4.1termitegroup_NA_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_M2PB4.65termitegroup_NA_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Sanguibacteroides_NA.1	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Sanguibacteroides_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Sanguibacteroides_NA.2	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.1	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.2	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_RikenellaceaeRC9gutgroup_NA.3	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_RikenellaceaeRC9gutgroup_NA.2	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Williamwhitmaniaceae_NA_NA	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Williamwhitmaniaceae_Rs.D38termitegroup_NA	Bacteria_Campilobacterota_Campylobacteria_Campylobacterales_Sulfurospirillaceae_Sulfurospirillum_NA	Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_NA_NA	Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_NA
Chitin1	0	0.007900831	0.001362212	0	0	0.003405531	0.002315761	0.120555783	0.002043318	0.000544885	0	0.205830268	0.003541752	0.000136221	0	0.000136221	0.007900831	0.004767743	0.003950415	0.025064705	0.00217954	0	0.022476502	0.036507288	0.010216592	0.02560959	0	0	0.000817327	0	0.007355946	0.024656041	0.001498433	0	0.010761477	0.019479635	0.041956137	0.037733279	0.007355946	0.058847568	0.034055306	0.023974935	0.028606457	0.002315761	0.010761477	0.079961858	0.00885438	0.011306362	0.001634655	0.018117423	0.035417518	0.003541752	0.011033919	0.008581937	0.001634655	0.017163874	0.006129955
Chitin2	0.016070223	0.004456448	0.000945307	0.000270088	0	0.000405132	0	0.155435517	0.000405132	0	0	0.025118163	0.001890614	0.001620527	0.008642809	0.003376097	0.010128292	0.001890614	0.000675219	0.009318028	0.007427414	0	0.006887238	0.052261985	0.087238352	0.022147198	0	0.002700878	0	0.000945307	0.030249831	0.099797434	0.005536799	0.000675219	0.033760972	0.010668467	0.018230925	0.033896016	0.012288994	0.022012154	0.069682647	0.024442944	0.016205267	0.000945307	0.006482107	0.065901418	0.000540176	0.004051317	0.002700878	0.012559082	0.023902768	0.015935179	0.003106009	0.04132343	0.000675219	0.003781229	0.020391627
Chitin3	0.002816406	0.001408203	0.00228833	0.000528076	0.003168456	0.000176025	0.002816406	0.120753388	0.004224608	0.00264038	0	0.001936279	0	0.000352051	0.14944552	0.085196268	0.045590565	0.046118641	0.001056152	0.001232177	0.039957754	0.000176025	0.001232177	0	0	0.006864989	0.000880127	0.004224608	0.002992431	0.054039782	0	0.010561521	0	0	0.01284985	0	0.003872558	0.003696532	0.00228833	0	0.009681394	0.010033445	0	0.044358388	0.027283929	0.000880127	0.005808836	0.02798803	0.009329343	0.13430734	0	0	0.016898433	0	0.072874494	0.025171625	0
Chitin4	0.088396383	0.006241243	0.001528468	0.001273723	0.000636862	0.003948542	0.004840148	0.064323016	0.001783212	0.000382117	0.000382117	0.005859126	0.044325564	0.034517896	0.074894918	0.031715705	0.015284677	0.023945994	0.002929563	0.002420074	0.007897083	0.014647816	0.004840148	0.033881034	0	0.079735066	0.000254745	0.000891606	0.000509489	0.017577379	0.002420074	0.013501465	0.002929563	0.000254745	0.002165329	0.02203541	0.002165329	0.014010954	0.02649344	0	0.034263151	0.025856579	0	0.004203286	0.042032862	0.002037957	0.001146351	0.006878105	0.022672271	0.066360973	0	0.011081391	0.021908037	0.060883964	0.013883582	0.027639791	0.00331168
Chitin5	0.00494382	0.031685393	0.003146067	0.001797753	0.002247191	0.005842697	0.018876404	0.003595506	0.004494382	0.002022472	0	0.004494382	0.021348315	0.011460674	0.043370787	0.033033708	0.006741573	0.067640449	0.010786517	0.017078652	0.006067416	0.002022472	0.009662921	0.004044944	0.000224719	0.008314607	0	0.001797753	0.005842697	0.008314607	0.017303371	0.113483146	0.000449438	0	0.048314607	0.018651685	0.000224719	0.003820225	0.00494382	0	0.026067416	0.035955056	0	0.050561798	0.011910112	0.003146067	0.103370787	0.003595506	0.01505618	0.041348315	0.000674157	0.001348315	0.082247191	0.042247191	0.005617978	0.02741573	0.001348315
Chitin6	0.000193087	0.003668662	0.003861749	0.001158525	0	0.00077235	0.002896312	0.014674648	0.006564974	0.001351612	0.00077235	0.073373238	0.001351612	0	0.000965437	0.000965437	0.010619811	0.03128017	0.009461286	0.036300444	0.014288473	0.000386175	0.004634099	0.041706893	0.033983394	0.02819077	0	0.013323035	0.000965437	0	0.005792624	0.012164511	0.000386175	0.0015447	0.010619811	0.017764047	0.042479243	0.037072794	0.017377872	0.065842827	0.121838193	0.042865418	0.041127631	0.022205059	0.015446997	0.04807878	0.022398146	0.011392161	0.005599537	0.033790307	0.021432709	0.007723499	0.025294458	0.008495849	0.003861749	0.001351612	0.01834331
Xylan1	0.014615462	0	0.017840943	0.007962907	0.21630884	0.014313073	0.013607499	0.000100796	0	0.000302389	0.005140611	0	0.11359742	0.074891644	0	0	0.000302389	0	0.010382018	0.000705574	0.018244129	0.000100796	0.003124685	0.000705574	0.001108759	0.000604778	0.09374055	0.043140812	0.000705574	0.163088398	0	0	0.003124685	0.072573329	0	0.002318315	0	0.001814333	0.000100796	0	0	0.00080637	0	0	0.000503981	0.002519907	0.001108759	0.013909888	0.026207036	0.048785405	0.005342203	0.001814333	0.000604778	0.000201593	0	0.000403185	0.003225481
Xylan2	0.011482847	0.035440885	0.074284094	0.016161043	0.368018146	0.031613269	0.010206975	0	0.015168699	0.00722994	0.003969379	0	0	0.008789339	0.001842926	0	0.002126453	0	0.014601644	0	0.023816274	0.011908137	0.000141764	0	0	0	0	0.029912107	0.157215764	0.019705132	0	0.000141764	0	0.019279841	0.008080522	0.01842926	0.000141764	0	0	0	0.000283527	0	0	0.000283527	0.000283527	0.000141764	0	0.003685852	0.08293167	0.002835271	0	0	0.000425291	0	0	0.006521123	0.012900482
Xylan3	0	0.004125212	0.242659549	0.023416646	0.456442611	0.004367872	0.001941276	0	0.010070371	0.008493084	0.055083718	0	0	0.103251638	0.00012133	0.003639893	0.009221063	0	0.011041009	0.00024266	0.011041009	0.001698617	0.000363989	0	0	0	0	0.000485319	0.002183936	0.021960689	0	0.000970638	0	0.010191701	0.000363989	0.002305266	0	0.000363989	0	0	0	0.00012133	0	0	0.000606649	0.000363989	0	0.003154574	0.004853191	0.002790585	0.000363989	0	0.000970638	0	0.00024266	0.00024266	0.00024266
Xylan4	0.000300409	0.007810622	0.110189858	0.026916607	0.448990627	0.015380918	0.006909397	0.000240327	0.021028599	0.009372747	0.031362653	0.000240327	0	0.259012257	0.000480654	0.007149724	0.004506128	6.01E-05	0.024333093	6.01E-05	0.001321798	0.001922615	0.000120163	0.000300409	0	0	0.000180245	6.01E-05	0.001862533	0.004986782	0	0.000480654	0	0.000180245	0.000300409	0.000180245	0.000120163	0.000120163	0	0.000240327	0.000240327	0.000180245	0	0.000120163	0.00036049	0.000600817	0	0.000480654	0.000540735	0.002703677	0.000300409	0	0.000901226	0.000300409	0	0.003424658	0.003124249
